SYMBOL,NAME OF COMPANY
INDUSTOWER,Indus Towers Ltd (Bharti Infratel)
PAYTM,One 97 Communications Ltd
LICHSGFIN,Lic Housing Finance Limited
BANDHANBNK,Bandhan Bank Ltd
IDEA,Vodafone Idea Ltd
TECHM,Tech Mahindra Limited
NHPC,Nhpc Limited
PNBHOUSING,Pnb Housing Finance Limited
BAJAJHLDNG,Bajaj Holdings & Investment Limited
NESTLEIND,Nestle India Limited
HCLTECH,Hcl Technologies Limited
BLUESTARCO,Blue Star Limited
MARICO,Marico Limited
DRREDDY,Dr. Reddy's Laboratories Limited
ITC,Itc Limited
BHARTIARTL,Bharti Airtel Limited
SOLARINDS,Solar Industries India Limited
KPITTECH,KPIT Technologies Ltd
YESBANK,Yes Bank Limited
MANKIND,Mankind Pharma Ltd
OFSS,Oracle Financial Services Software Limited
COFORGE,Coforge (Niit Tech) Ltd
LAURUSLABS,Laurus Labs Limited
ZYDUSLIFE,Zydus Lifesciences Ltd
RBLBANK,Rbl Bank Limited
POLICYBZR,PB Fintech Ltd
ATHERENERG,Ather Energy Ltd
WIPRO,Wipro Limited
INFY,Infosys Limited
VBL,Varun Beverages Limited
GAIL,Gail (india) Limited
ONGC,Oil & Natural Gas Corporation Limited
AXISBANK,Axis Bank Limited
VOLTAS,Voltas Limited
PATANJALI,Patanjali Foods Ltd
PREMIERENE,Premier Energies Ltd
LUPIN,Lupin Limited
AUROPHARMA,Aurobindo Pharma Limited
SWIGGY,Swiggy Ltd
MAHABANK,Bank Of Maharashtra Ltd
APOLLOHOSP,Apollo Hospitals Enterprise Limited
POWERINDIA,Hitachi Energy India Ltd
TCS,Tata Consultancy Services Limited
PERSISTENT,Persistent Systems Limited
KFINTECH,KFin Technologies Ltd
GLENMARK,Glenmark Pharmaceuticals Limited
TVSMOTOR,Tvs Motor Company Limited
NTPC,Ntpc Limited
BOSCHLTD,Bosch Limited
MPHASIS,Mphasis Limited
KOTAKBANK,Kotak Mahindra Bank Limited
MOTHERSON,Samvardhana Motherson International Ltd
TORNTPHARM,Torrent Pharmaceuticals Limited
HINDUNILVR,Hindustan Unilever Limited
GODREJCP,Godrej Consumer Products Limited
TATAELXSI,Tata Elxsi Limited
MCX,Multi Commodity Exchange Of India Limited
TATAPOWER,Tata Power Company Limited
NYKAA,FSN E-Commerce Ventures Ltd
WAAREEENER,Waaree Energies Ltd
INDHOTEL,The Indian Hotels Company Limited
CROMPTON,Crompton Greaves Consumer Electricals Limited
ICICIBANK,Icici Bank Limited
COALINDIA,Coal India Limited
RECLTD,REC Ltd
BANKBARODA,Bank Of Baroda Ltd
OIL,Oil India Limited
TMPV,Tata Motors Passenger Vehicles Ltd
ABB,Abb India Limited
BEL,Bharat Electronics Limited
IDFCFIRSTB,IDFC First Bank Ltd
UPL,Upl Limited
PNB,Punjab National Bank Ltd
IOC,Indian Oil Corporation Limited
TITAN,Titan Company Limited
LICI,Life Insurance Corporation of India Ltd
ICICIGI,ICICI Lombard General Insurance Company Ltd
MFSL,Max Financial Services Limited
FEDERALBNK,The Federal Bank  Limited
BRITANNIA,Britannia Industries Limited
TATACONSUM,TATA Consumer Products Ltd
DABUR,Dabur India Limited
ADANIPORTS,Adani Ports And Special Economic Zone Limited
SUNPHARMA,Sun Pharmaceuticals Industries Limited
NAM-INDIA,Nippon Life India Asset Management Ltd
UNITDSPR,United Spirits Ltd
PETRONET,Petronet Lng Limited
DMART,Avenue Supermarts Ltd
COLPAL,Colgate Palmolive (india) Limited
BANKNIFTY,BANKNIFTY
NIFTY,NIFTY
SIEMENS,Siemens Limited
IRFC,Indian Railway Finance Corporation Ltd
CAMS,Computer Age Management Services Ltd
HYUNDAI,Hyundai Motor India Ltd
SBILIFE,SBI Life Insurance Company Ltd
CGPOWER,CG Power and Industrial Solutions Ltd
PFC,Power Finance Corporation Limited
GVT&D,GE Vernova T&D India Ltd
SONACOMS,Sona BLW Precision Forgings Ltd
BAJAJ-AUTO,Bajaj Auto Limited
M&M,Mahindra & Mahindra Limited
ETERNAL,Eternal Ltd
HDFCLIFE,HDFC Life Insurance Company Ltd
PIDILITIND,Pidilite Industries Limited
BHEL,Bharat Heavy Electricals Limited
HAL,Hindustan Aeronautics Ltd
POWERGRID,Power Grid Corporation Of India Limited
CANBK,Canara Bank Ltd
MAXHEALTH,Max Healthcare Institute Ltd
HDFCAMC,HDFC Asset Management Company Ltd
